"Date","Revenue","GrossSales","Count","Location"
"2025-12-16","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-02","","","","Chesters-Bolton-UK"
"2025-12-12","","","","Chesters-Bolton-UK"
"2025-12-13","","","","Chesters-Bolton-UK"
"2025-12-14","","","","Chesters-Bolton-UK"
"2025-12-25","","","","Chesters-Bolton-UK"
"2025-12-16",24.0,24.0,1,"Chunky Chicken-Glasgow-UK"
"2025-12-19","","","","Chunky Chicken-Glasgow-UK"
"2025-12-31",11.25,11.25,1,"Chunky Chicken-Glasgow-UK"
"2026-01-01","","","","Chunky Chicken-Glasgow-UK"
"2025-12-09","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-17","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-18","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-29","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-08","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-11","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-20",10.8,14.27,1,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-26",61.81,74.96,3,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-30","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-07","","","","Chesters-Bolton-UK"
"2025-12-21",52.5,52.5,2,"Chesters-Bolton-UK"
"2025-12-28","","","","Chesters-Bolton-UK"
"2025-12-21",15.0,15.0,1,"Chunky Chicken-Glasgow-UK"
"2025-12-03","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-08","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-14","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-03","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-07","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-14","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-17","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-19",30.49,36.21,2,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-28",10.99,14.08,1,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-18","","","","Chesters-Bolton-UK"
"2025-12-05","","","","Chunky Chicken-Glasgow-UK"
"2025-12-08","","","","Chunky Chicken-Glasgow-UK"
"2025-12-20","","","","Chunky Chicken-Glasgow-UK"
"2025-12-06","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-15","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-21",36.0,36.0,1,"Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-25","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-30",20.25,20.25,1,"Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-02","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-29",14.5,17.38,1,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2026-01-01","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-01","","","","Chesters-Bolton-UK"
"2025-12-03","","","","Chesters-Bolton-UK"
"2025-12-05","","","","Chesters-Bolton-UK"
"2025-12-09","","","","Chesters-Bolton-UK"
"2025-12-22",16.5,16.5,1,"Chesters-Bolton-UK"
"2025-12-24","","","","Chesters-Bolton-UK"
"2026-01-01","","","","Chesters-Bolton-UK"
"2025-12-14","","","","Chunky Chicken-Glasgow-UK"
"2025-12-16","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-22","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-26","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-31","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2026-01-01","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-01","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-04","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-06","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-09","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-13","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-15","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-18","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-22",15.12,19.27,1,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-23",25.31,30.18,1,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-25","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-11","","","","Chesters-Bolton-UK"
"2025-12-16","","","","Chesters-Bolton-UK"
"2025-12-17","","","","Chesters-Bolton-UK"
"2025-12-26",15.0,15.0,1,"Chesters-Bolton-UK"
"2025-12-27","","","","Chesters-Bolton-UK"
"2025-12-02","","","","Chunky Chicken-Glasgow-UK"
"2025-12-12","","","","Chunky Chicken-Glasgow-UK"
"2025-12-18",13.5,13.5,1,"Chunky Chicken-Glasgow-UK"
"2025-12-22","","","","Chunky Chicken-Glasgow-UK"
"2025-12-24",20.25,20.25,1,"Chunky Chicken-Glasgow-UK"
"2025-12-27",41.25,41.25,1,"Chunky Chicken-Glasgow-UK"
"2025-12-05","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-12","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-27","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-04","","","","Chesters-Bolton-UK"
"2025-12-06","","","","Chesters-Bolton-UK"
"2025-12-20",90.0,90.0,4,"Chesters-Bolton-UK"
"2025-12-23","","","","Chesters-Bolton-UK"
"2025-12-10","","","","Chunky Chicken-Glasgow-UK"
"2025-12-13","","","","Chunky Chicken-Glasgow-UK"
"2025-12-26","","","","Chunky Chicken-Glasgow-UK"
"2025-12-04","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-07","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-12","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-13","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-23","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-10","","","","Chesters-Bolton-UK"
"2025-12-15","","","","Chesters-Bolton-UK"
"2025-12-04","","","","Chunky Chicken-Glasgow-UK"
"2025-12-06","","","","Chunky Chicken-Glasgow-UK"
"2025-12-07","","","","Chunky Chicken-Glasgow-UK"
"2025-12-15",15.0,15.0,1,"Chunky Chicken-Glasgow-UK"
"2025-12-25",39.0,39.0,2,"Chunky Chicken-Glasgow-UK"
"2025-12-29",12.0,12.0,1,"Chunky Chicken-Glasgow-UK"
"2025-12-10","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-20","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-27","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-10","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-21","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-29","","","","Chesters-Bolton-UK"
"2025-12-09","","","","Chunky Chicken-Glasgow-UK"
"2025-12-11","","","","Chunky Chicken-Glasgow-UK"
"2025-12-28",47.25,47.25,3,"Chunky Chicken-Glasgow-UK"
"2025-12-30",11.25,11.25,1,"Chunky Chicken-Glasgow-UK"
"2025-12-01","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-02","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-24","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-28","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-24","","","","Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-31",32.02,39.31,2,"Liana’s (Hug’a’Mug & Shaorma Stoke) - Wolstanton - UK"
"2025-12-08","","","","Chesters-Bolton-UK"
"2025-12-19","","","","Chesters-Bolton-UK"
"2025-12-30","","","","Chesters-Bolton-UK"
"2025-12-31","","","","Chesters-Bolton-UK"
"2025-12-01","","","","Chunky Chicken-Glasgow-UK"
"2025-12-03","","","","Chunky Chicken-Glasgow-UK"
"2025-12-17","","","","Chunky Chicken-Glasgow-UK"
"2025-12-23","","","","Chunky Chicken-Glasgow-UK"
"2025-12-05","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-11","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
"2025-12-19","","","","Goodfellas Grill & Kebab House-Wayte St Portsmouth-UK"
